Customer,Arrival_time,Wait,Service_Start_time,Service_Time,Service_End_time
1,0.36010703428176466,0.0,0.36010703428176466,0.4260072058240112,0.7861142401057759
2,0.5654991533413936,0.22061508676438235,0.7861142401057759,1.064837488345066,1.8509517284508419
3,0.6302651305976886,1.2206865978531534,1.8509517284508419,0.7538124561551092,2.6047641846059513
4,1.2890419988603568,1.3157221857455945,2.6047641846059513,0.02672317332754819,2.6314873579334996
5,1.6136913616123667,1.017795996321133,2.6314873579334996,0.1267206620644342,2.7582080199979337
6,1.8595458028415432,0.8986622171563905,2.7582080199979337,1.0511379028159034,3.8093459228138373
7,2.927014117572423,0.8823318052414142,3.8093459228138373,0.5539031889431947,4.363249111757032
8,3.110983536419689,1.2522655753373426,4.363249111757032,0.15045971371389258,4.513708825470925
9,3.690448110219461,0.8232607152514637,4.513708825470925,1.0268975050904097,5.540606330561334
10,4.235261341273836,1.305344989287498,5.540606330561334,1.5290427887171334,7.069649119278468
11,4.3234221888668385,2.7462269304116296,7.069649119278468,0.24827113609213095,7.317920255370599
12,4.394126235249149,2.9237940201214503,7.317920255370599,0.27917924371319636,7.597099499083796
13,5.238447065935365,2.358652433148431,7.597099499083796,0.902333131228978,8.499432630312773
14,5.562225333681338,2.937207296631435,8.499432630312773,0.9901288970082006,9.489561527320975
15,5.669174349459751,3.8203871778612237,9.489561527320975,0.34501582122788493,9.83457734854886
16,6.161343715375314,3.6732336331735462,9.83457734854886,0.014619374640818075,9.849196723189678
17,7.685353248907749,2.1638434742819292,9.849196723189678,0.2950166824962143,10.144213405685893
18,7.792629345030836,2.351584060655057,10.144213405685893,1.2964698193424136,11.440683225028305
19,8.89419926997139,2.5464839550569156,11.440683225028305,1.0530410563599724,12.493724281388278
20,9.247185378588988,3.2465389027992906,12.493724281388278,0.30840983487387885,12.802134116262158
21,9.434741675817007,3.367392440445151,12.802134116262158,0.5477702977295218,13.34990441399168
22,10.731856748698013,2.618047665293668,13.34990441399168,0.35123597202504064,13.701140386016721
23,11.326461663120266,2.374678722896455,13.701140386016721,0.30604908638912937,14.00718947240585
24,11.905464945716405,2.101724526689445,14.00718947240585,0.025916386522265435,14.033105858928115
25,11.977352699903857,2.055753159024258,14.033105858928115,2.1088911240391073,16.14199698296722
26,12.169441496946726,3.972555486020495,16.14199698296722,0.6492587793628537,16.791255762330074
27,12.387311355258793,4.403944407071281,16.791255762330074,0.11197298777016446,16.90322875010024
28,12.484277785241755,4.418950964858485,16.90322875010024,0.28817825566225785,17.1914070057625
29,12.847536373355341,4.3438706324071585,17.1914070057625,0.6317420900202488,17.82314909578275
30,12.894100537085157,4.929048558697593,17.82314909578275,1.7473440036478758,19.570493099430625
31,13.464722994397734,6.1057701050328905,19.570493099430625,0.8887639310787068,20.45925703050933
32,13.608847789517382,6.850409240991949,20.45925703050933,0.20969989575127498,20.668956926260606
33,14.256590925123229,6.412366001137377,20.668956926260606,3.3727164691281426,24.04167339538875
34,14.394613462874409,9.64705993251434,24.04167339538875,0.7199752302664305,24.76164862565518
35,15.212429391879141,9.54921923377604,24.76164862565518,0.28346623130691023,25.04511485696209
36,16.990326041913235,8.054788815048855,25.04511485696209,2.7183246165254693,27.76343947348756
37,17.179536755709638,10.58390271777792,27.76343947348756,0.057796172824363015,27.821235646311923
38,17.35149174801482,10.469743898297104,27.821235646311923,0.7895085419242481,28.610744188236172
39,17.474470113649808,11.136274074586364,28.610744188236172,1.1368647825178828,29.747608970754055
40,17.544615775646005,12.20299319510805,29.747608970754055,3.7677078628792704,33.51531683363333
41,17.79910508986601,15.716211743767317,33.51531683363333,1.8122046863135934,35.32752151994692
42,18.789265047030664,16.538256472916256,35.32752151994692,0.3650558118769287,35.69257733182385
43,19.372986946558022,16.319590385265826,35.69257733182385,1.2688164425914958,36.96139377441534
44,20.10239459548902,16.85899917892632,36.96139377441534,0.4154908774737532,37.37688465188909
45,20.255325383137592,17.1215592687515,37.37688465188909,0.3404933775377309,37.717378029426825
46,21.332013797352065,16.38536423207476,37.717378029426825,4.425717692627822,42.143095722054646
47,21.855771010656976,20.28732471139767,42.143095722054646,0.41795629892394626,42.56105202097859
48,22.075650897686533,20.48540112329206,42.56105202097859,0.6479887240573977,43.20904074503599
49,23.1701023294433,20.038938415592693,43.20904074503599,0.22915570472029412,43.43819644975628
50,25.558807418983427,17.879389030772856,43.43819644975628,1.016471024999257,44.45466747475554
51,25.570405229166322,18.884262245589216,44.45466747475554,0.9621978464166147,45.41686532117215
52,26.377152528575294,19.03971279259686,45.41686532117215,2.627259143147587,48.044124464319744
53,26.764162650392166,21.279961813927578,48.044124464319744,0.9490920160204903,48.99321648034024
54,27.467409032494626,21.52580744784561,48.99321648034024,0.5482157655145549,49.54143224585479
55,27.52054290071598,22.020889345138812,49.54143224585479,0.18301454353013205,49.72444678938493
56,28.269818664301866,21.45462812508306,49.72444678938493,0.29093673446240265,50.01538352384733
57,28.593743849130956,21.421639674716378,50.01538352384733,0.06489339647059926,50.080276920317935
58,29.468274736672427,20.612002183645508,50.080276920317935,1.1412744329502833,51.22155135326822
59,31.462882549567272,19.758668803700946,51.22155135326822,0.6621890999596786,51.883740453227894
60,31.729755115496733,20.15398533773116,51.883740453227894,2.6216971878876687,54.50543764111556
61,31.840038145018188,22.665399496097375,54.50543764111556,4.321073746144542,58.826511387260105
62,32.4792967250288,26.347214662231302,58.826511387260105,0.9082589127860417,59.734770300046144
63,32.76272727850136,26.972043021544785,59.734770300046144,0.021854987861928875,59.75662528790807
